City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,valle de la pascua,9.2155,-66.0073,27.91,65,100,3.38,VE,1733182751
245,orchard homes,46.8633,-114.0484,3.29,67,21,0.89,US,1733182754
246,stonehaven,56.9637,-2.2118,1.29,82,49,2.85,GB,1733182756
247,mar del plata,-38.0023,-57.5575,11.01,82,40,5.14,AR,1733182624
248,papao,-17.75,-149.55,30.82,73,93,5.5,PF,1733182760
249,broome,42.2506,-75.833,-1.79,74,100,2.06,US,1733182764
250,usinsk,65.9939,57.5281,1.7,100,100,9.8,RU,1733182766
251,cockburn town,21.4612,-71.1419,27.12,72,99,5.25,TC,1733182471
252,lebu,-37.6167,-73.65,12.37,77,1,10.46,CL,1733182771
253,georgetown,5.4112,100.3354,26.96,87,20,2.06,MY,1733182773
254,altamont,42.2068,-121.7372,7.91,66,0,0.45,US,1733182775
255,st. john's,47.5649,-52.7093,4.98,92,100,2.57,CA,1733182763
256,harper,4.375,-7.7169,26.01,82,0,2.61,LR,1733182779
257,tenenkou,14.4572,-4.9169,22.11,14,38,4.31,ML,1733182781
258,maintirano,-18.0667,44.0167,26.96,74,76,2.01,MG,1733182783
259,talnakh,69.4865,88.3972,-13.47,92,100,5.51,RU,1733182786
260,quatre cocos,-20.2078,57.7625,23.06,77,14,4.05,MU,1733182788
261,marka,1.7159,44.7717,25.08,76,46,6.11,SO,1733182790
262,madaoua,14.073,5.96,18.52,20,33,4.74,NE,1733182792
263,souillac,-20.5167,57.5167,23.21,83,40,2.06,MU,1733182794
264,college,64.8569,-147.8028,-21.03,77,20,0.0,US,1733182796
265,greymouth,-42.4667,171.2,16.35,98,100,6.08,NZ,1733182798
266,al jubayl,27.0112,49.6583,18.73,54,0,4.97,SA,1733182800
267,essaouira,31.5125,-9.77,17.72,45,11,3.09,MA,1733182803
268,iquique,-20.2208,-70.1431,18.15,81,61,0.15,CL,1733182586
269,al qusiyah,27.4402,30.8184,14.18,60,16,4.56,EG,1733182807
270,nurabad,34.0734,47.9725,-0.04,47,74,1.21,IR,1733182809
271,lebanon,36.2081,-86.2911,1.03,73,75,5.66,US,1733182813
272,anadyr,64.75,177.4833,-14.72,85,0,4.0,RU,1733182815
273,demba,-5.51,22.2667,19.62,99,98,0.31,CD,1733182818
274,bredasdorp,-34.5322,20.0403,19.53,78,93,5.58,ZA,1733182822
275,badger,64.8,-147.5333,-19.86,77,20,0.0,US,1733182824
276,ulaangom,49.9811,92.0667,-12.82,84,94,2.27,MN,1733182826
277,ajaigarh,24.9,80.2667,14.27,54,13,0.23,IN,1733182828
278,plouzane,48.3833,-4.6167,9.03,76,100,2.57,FR,1733182831
279,baramati,18.15,74.5833,22.55,78,99,2.91,IN,1733182833
280,bugiri,0.5714,33.7417,19.53,77,91,0.82,UG,1733182835
281,riviera beach,26.7753,-80.0581,18.02,70,20,5.66,US,1733182837
282,kibre mengist,5.8833,38.9833,10.36,82,14,1.41,ET,1733182839
283,carnarvon,-24.8667,113.6333,21.97,63,12,5.7,AU,1733182842
284,clewiston,26.7542,-80.9337,14.44,55,0,6.27,US,1733182842
285,afaahiti,-17.75,-149.2833,26.03,80,92,5.45,PF,1733182846
286,palmerston,-12.486,130.9833,24.99,94,75,2.57,AU,1733182848
287,lae,-6.7221,146.9847,29.3,63,78,2.37,PG,1733182850
288,hunchun,42.8675,130.3581,-5.0,28,1,4.42,CN,1733182852
289,collie,-33.3667,116.15,18.42,69,62,4.99,AU,1733182854
290,lobujya,27.95,86.8167,-12.07,20,0,1.66,NP,1733182856
291,naracoorte,-36.9579,140.7383,20.34,66,99,6.93,AU,1733182859
292,senanga,-16.1167,23.2667,22.32,23,0,3.73,ZM,1733182861
293,ta`u,-14.2336,-169.5144,27.89,79,38,7.17,AS,1733182863
294,nowshahr,36.649,51.496,6.97,87,20,1.03,IR,1733182865
295,peterhead,57.5058,-1.7981,4.53,59,99,5.23,GB,1733182867
296,manismata,-2.4667,111.0333,24.48,96,100,1.04,ID,1733182869
297,okeho,8.0333,3.35,23.28,40,1,0.8,NG,1733182871
298,benguela,-12.5763,13.4055,24.1,83,35,1.38,AO,1733182873
299,extrema,-22.8547,-46.3183,20.9,96,100,1.76,BR,1733182876
300,scarborough,54.2797,-0.4044,5.51,70,95,1.79,GB,1733182764
301,muynoq,43.7683,59.0214,-0.42,78,22,2.36,UZ,1733182880
302,hadibu,12.65,54.0333,24.23,70,25,4.07,YE,1733182882
303,turkmenbasy,40.0222,52.9552,0.43,86,75,4.12,TM,1733182884
304,codrington,-38.2667,141.9667,17.84,87,89,8.58,AU,1733182886
305,freetown,8.484,-13.2299,27.84,74,31,4.12,SL,1733182888
306,vadso,70.0744,29.7487,-0.91,74,75,3.6,NO,1733182891
307,demre,36.2537,29.9777,12.19,76,78,2.52,TR,1733182893
308,sandnessjoen,66.0217,12.6316,0.98,54,100,12.08,NO,1733182895
309,egersund,58.4513,5.9997,4.33,73,53,9.55,NO,1733182897
310,merizo village,13.2658,144.6691,29.43,84,90,8.06,GU,1733182899
311,dudinka,69.4058,86.1778,-14.61,92,99,8.58,RU,1733182904
312,uribia,11.7139,-72.266,28.34,72,98,7.12,CO,1733182906
313,ocean shores,46.9737,-124.1563,6.64,88,20,3.6,US,1733182888
314,mutuali,-14.8706,37.0044,19.49,60,10,1.56,MZ,1733182910
315,bakanas,44.8081,76.2772,2.9,75,100,1.42,KZ,1733182912
316,yigo village,13.5361,144.8886,28.74,83,40,7.72,GU,1733182915
317,kodinsk,58.6881,99.1844,-13.04,96,100,1.78,RU,1733182917
318,galliano,29.4422,-90.2992,13.0,54,0,0.0,US,1733182919
319,whangarei,-35.7317,174.3239,25.13,36,96,2.57,NZ,1733182921
320,mont-laurier,46.5501,-75.4993,-3.0,92,98,1.42,CA,1733182670
321,santander jimenez,24.2167,-98.4667,23.36,73,45,3.76,MX,1733182926
322,kununurra,-15.7667,128.7333,25.99,78,75,5.66,AU,1733182928
323,ugoofaaru,5.6667,73.0,27.88,76,89,7.23,MV,1733182930
324,portoviejo,-1.05,-80.45,26.67,73,15,4.94,EC,1733182677
325,shiyan,32.6475,110.7781,7.81,56,100,0.98,CN,1733182934
326,tsetserleg,47.475,101.4542,-11.57,77,99,1.96,MN,1733182737
327,kasungu,-13.0333,33.4833,18.45,49,1,1.78,MW,1733182938
328,bardai,11.65,7.2333,17.42,24,0,4.19,NG,1733182941
329,boende,-0.2167,20.8667,22.77,83,36,0.9,CD,1733182943
330,burnie,-41.0667,145.9167,16.2,97,100,3.42,AU,1733182945
331,pinotepa nacional,16.3167,-98.0167,23.35,80,72,1.18,MX,1733182947
332,mejit,10.2753,170.8646,27.65,81,48,11.43,MH,1733182949
333,ilebo,-4.3167,20.5833,20.94,97,77,0.37,CD,1733182951
334,port douglas,-16.4833,145.4667,25.93,88,100,1.15,AU,1733182953
335,port-gentil,-0.7193,8.7815,25.98,100,20,2.57,GA,1733182955
336,nar'yan-mar,67.6713,53.087,2.39,98,100,10.49,RU,1733182958
337,puerto madero,14.7208,-92.4215,29.11,61,75,2.57,MX,1733182960
338,houmt el souk,33.8758,10.8575,17.97,59,20,5.14,TN,1733182962
339,geraldton,-28.7667,114.6,18.23,72,0,3.09,AU,1733182964
340,colonia,50.9333,6.95,8.36,88,75,2.57,DE,1733182817
341,conception bay south,47.4999,-52.9981,4.85,95,100,2.84,CA,1733182968
342,sabzevar,36.2126,57.6819,1.49,62,9,2.95,IR,1733182970
343,labasa,-16.4167,179.3833,28.73,76,92,2.96,FJ,1733182973
344,yashkul',46.1711,45.3435,0.38,77,73,5.36,RU,1733182975
345,praia,14.9215,-23.5087,24.3,60,0,5.14,CV,1733182977
346,bogande,12.9714,-0.1436,22.18,20,54,3.66,BF,1733182979
347,dampit,-8.2116,112.7493,24.87,84,93,1.21,ID,1733182981
348,lesneven,48.5723,-4.3213,10.12,81,100,1.54,FR,1733182914
349,labytnangi,66.6572,66.4183,-9.54,96,100,1.8,RU,1733182985
350,guadalupe y calvo,26.1,-106.9667,11.79,26,92,0.9,MX,1733182987
351,piacabucu,-10.4056,-36.4344,25.45,85,35,5.1,BR,1733182990
352,maymana,35.9214,64.7836,2.53,78,81,1.43,AF,1733182992
353,anna regina,7.2644,-58.5077,25.12,89,71,3.56,GY,1733182994
354,hami,42.8,93.45,-2.38,87,98,2.63,CN,1733182996
355,vilyuchinsk,52.9306,158.4028,3.15,89,100,0.51,RU,1733182998
356,quixada,-4.9714,-39.0153,25.72,73,61,3.72,BR,1733183000
357,bayanhongor,46.7167,100.1167,-17.66,82,100,1.23,MN,1733183002
358,santa barbara,34.7333,-120.0343,18.89,38,0,3.09,US,1733182739
359,boguchar,49.9358,40.545,-2.1,92,100,1.8,RU,1733183007
360,vila do maio,15.1333,-23.2167,24.8,70,86,6.08,CV,1733183009
361,enewetak,11.3474,162.3373,27.88,76,89,10.27,MH,1733183011
362,isangel,-19.55,169.2667,28.06,83,20,4.63,VU,1733183013
363,caxito,-8.5785,13.6643,24.42,93,72,0.85,AO,1733183015
364,cooma,-36.2333,149.1333,20.83,72,100,6.76,AU,1733183017
365,primero de mayo,-32.2552,-58.4228,18.79,48,0,3.66,AR,1733183020
366,cuito,-12.3833,16.9333,15.33,83,17,1.77,AO,1733183022
367,laguna,38.421,-121.4238,17.98,53,0,1.54,US,1733183024
368,ancud,-41.8697,-73.8203,10.84,68,60,2.27,CL,1733183026
369,gisborne,-38.6533,178.0042,23.95,53,94,1.77,NZ,1733183028
370,tattayyangarpettai,11.1333,78.45,23.45,90,66,1.23,IN,1733183030
371,anshun,26.25,105.9333,10.9,93,90,2.06,CN,1733183032
372,kirensk,57.7853,108.1119,-33.5,99,7,0.71,RU,1733183034
373,molina,-35.1167,-71.2833,23.85,27,0,4.12,CL,1733182801
374,igarka,67.4667,86.5833,-15.35,96,97,5.79,RU,1733183039
375,kapuskasing,49.4169,-82.4331,-5.95,93,100,8.23,CA,1733182801
376,jose maria morelos,30.8066,-112.684,22.86,21,2,3.47,MX,1733183043
377,daru,-9.0763,143.2092,28.28,78,65,2.48,PG,1733183045
378,afif,23.9065,42.9172,16.83,53,13,4.64,SA,1733183047
379,suva,-18.1416,178.4415,28.71,79,40,3.6,FJ,1733183049
380,dawson creek,55.7666,-120.2362,5.8,65,0,8.23,CA,1733182886
381,namibe,-15.1961,12.1522,20.29,82,34,1.94,AO,1733183054
382,tsiombe,-25.3,45.4833,22.7,93,18,1.75,MG,1733183056
383,meissen,51.1616,13.4737,3.84,81,100,4.44,DE,1733183058
384,tazacorte,28.629,-17.9293,20.64,63,40,4.12,ES,1733183060
385,labrador city,52.9463,-66.9114,-11.05,79,100,5.66,CA,1733183062
386,sahagun,8.9462,-75.4427,25.22,92,95,3.87,CO,1733183064
387,luwuk,-0.9516,122.7875,27.7,68,60,1.09,ID,1733183066
388,bairnsdale,-37.8333,147.6167,26.14,71,100,0.45,AU,1733183068
389,rampur,28.8167,79.0333,14.5,58,0,2.02,IN,1733183071
390,thunder bay,48.4001,-89.3168,-6.01,73,75,3.6,CA,1733183073
391,nanakuli,21.3906,-158.1547,28.91,53,0,2.57,US,1733183075
392,joao pinheiro,-17.7425,-46.1725,21.99,88,87,1.76,BR,1733183079
393,luwingu,-10.2621,29.9271,15.84,88,91,1.26,ZM,1733183081
394,plettenberg bay,-34.0527,23.3716,17.58,72,27,3.58,ZA,1733183084
395,brooks,50.5834,-111.8851,-13.01,72,95,2.57,CA,1733182963
396,pyhajarvi,67.0701,27.2176,-8.54,93,36,1.9,FI,1733183088
397,farmington,36.7281,-108.2187,9.38,31,0,4.12,US,1733183090
398,berdigestyakh,62.0989,126.6992,-29.17,100,97,0.77,RU,1733183093
399,semey,50.4111,80.2275,-8.13,99,80,0.52,KZ,1733183095
400,banswara,23.55,74.45,16.96,38,0,2.23,IN,1733183097
401,lompoc,34.6391,-120.4579,16.62,69,0,4.12,US,1733183099
402,arteche,12.2645,125.4048,27.72,84,100,3.25,PH,1733183102
403,puerto ayacucho,5.6639,-67.6236,29.11,64,62,1.33,VE,1733183104
404,swakopmund,-22.6833,14.5333,14.74,88,20,0.49,NA,1733183106
405,jalalaqsi,3.3766,45.5996,22.48,80,25,4.69,SO,1733183108
406,taunggyi,20.7833,97.0333,14.47,94,5,1.2,MM,1733183110
407,vorgashor,67.5833,63.95,-6.32,95,100,8.87,RU,1733183112
408,novyy urengoy,66.0833,76.6333,-15.06,89,69,5.6,RU,1733183115
409,okhotsk,59.3833,143.3,-3.12,97,100,2.89,RU,1733183117
410,nalut,30.3333,10.85,10.74,59,26,2.96,LY,1733183119
411,tual,-5.6667,132.75,28.38,76,98,4.54,ID,1733183121
412,saint-philippe,-21.3585,55.7679,23.9,83,37,5.27,RE,1733183123
413,notodden,59.5594,9.2585,3.2,76,99,0.45,NO,1733183125
414,mankoeng,-23.9,29.8167,19.07,36,6,2.45,ZA,1733183127
415,belmonte,-15.8631,-38.8828,25.51,80,71,4.77,BR,1733183129
416,lewistown,40.5992,-77.5714,-0.22,82,0,3.6,US,1733182987
417,santa cruz,-17.8,-63.1667,21.03,94,75,3.6,BO,1733183134
418,barcelos,41.5388,-8.6151,10.92,94,60,0.95,PT,1733183136
419,kamyzyak,46.11,48.0736,-2.01,93,100,3.0,RU,1733183138
420,tvoroyri,61.5556,-6.8111,1.34,56,97,4.19,FO,1733183140
421,caruaru,-8.2833,-35.9761,21.74,88,42,3.47,BR,1733183142
422,tamanrasset,22.785,5.5228,13.22,25,39,0.57,DZ,1733183145
423,lindsay,36.203,-119.0882,17.1,73,20,2.57,US,1733183045
424,margate,51.3813,1.3862,7.61,83,98,1.34,GB,1733183149
425,luanco,43.6152,-5.7934,12.54,96,95,1.34,ES,1733183151
426,port augusta,-32.5,137.7667,23.76,56,0,5.77,AU,1733183153
427,aitape,-3.1374,142.3475,29.39,71,87,0.95,PG,1733183155
428,berbera,10.4396,45.0143,25.99,70,38,2.67,SO,1733183157
429,pathankot,32.2833,75.65,13.05,34,2,1.79,IN,1733183159
430,howard springs,-12.497,131.047,25.95,77,100,1.39,AU,1733183162
431,bedesa,8.9,40.7833,15.52,58,5,0.85,ET,1733183166
432,pemangkat,1.1667,108.9667,26.78,82,100,3.29,ID,1733183168
433,arkhangel'sk,64.5401,40.5433,3.06,100,75,5.0,RU,1733183170
434,sanctuary point,-35.1114,150.629,26.4,57,100,1.83,AU,1733183172
435,fale old settlement,-9.3852,-171.2468,28.03,76,46,6.93,TK,1733183174
436,gemena,3.25,19.7667,22.57,54,3,0.64,CD,1733183177
